 INFO  Accepting connections at http://localhost:3001
 HTTP  5/14/2026 11:44:47 AM ::1 Returned 301 in 2 ms
 HTTP  5/14/2026 11:44:47 AM ::1 Returned 200 in 16 ms
 HTTP  5/14/2026 11:44:47 AM ::1 GET /demo/index
 HTTP  5/14/2026 11:44:47 AM ::1 Returned 301 in 4 ms
 HTTP  5/14/2026 11:44:47 AM ::1 GET /demo/portal
 HTTP  5/14/2026 11:44:47 AM ::1 GET /demo
 HTTP  5/14/2026 11:44:47 AM ::1 GET /demo/portal/index.html
 HTTP  5/14/2026 11:44:47 AM ::1 Returned 301 in 2 ms
 HTTP  5/14/2026 11:44:47 AM ::1 GET /demo/portal/index
 HTTP  5/14/2026 11:44:47 AM ::1 Returned 301 in 1 ms
 HTTP  5/14/2026 11:44:47 AM ::1 Returned 304 in 9 ms
 HTTP  5/14/2026 11:44:47 AM ::1 Returned 200 in 29 ms
